SN LAT LON DEPTH G_OBS C_FAYE BOUGUER CORR_T G_NOR ANOMALY_D DENSITY CORR_ANOMALY ANOMALY_D_VAR			 
1222 41.187500 16.795556 -52.0 980372.00 -16.05 +7.47 ----- 980286.38 +77.04 2.4 0.00 +77.04
1223 41.201111 16.773889 -59.5 980374.07 -18.36 +8.54 ----- 980287.60 +76.65 2.4 0.00 +76.65
1225 41.170000 16.781944 -24.2 980367.53 -7.47 +3.47 ----- 980284.80 +78.73 2.4 0.00 +78.73
1226 41.195278 16.716667 -34.2 980366.13 -10.55 +4.91 ----- 980287.08 +73.41 2.4 0.00 +73.41
1227 41.212778 16.671944 -34.0 980364.29 -10.49 +4.88 ----- 980288.64 +70.04 2.4 0.00 +70.04
1228 41.226389 16.624167 -30.0 980363.62 -9.26 +4.31 ----- 980289.85 +68.82 2.4 0.00 +68.82
1229 41.240000 16.660278 -48.5 980370.16 -14.97 +6.96 ----- 980291.06 +71.09 2.4 0.00 +71.09
1230 41.229167 16.706667 -57.0 980371.68 -17.59 +8.18 ----- 980290.10 +72.17 2.4 0.00 +72.17
1231 41.216667 16.736111 -58.1 980372.85 -17.93 +8.34 ----- 980288.98 +74.28 2.4 0.00 +74.28
1235 41.218333 16.641389 -28.8 980363.27 -8.89 +4.14 ----- 980289.13 +69.39 2.4 0.00 +69.39
1236 41.182500 16.755000 -35.8 980368.43 -11.05 +5.14 ----- 980285.93 +76.59 2.4 0.00 +76.59
1237 41.206667 16.824167 -78.9 980376.84 -24.35 +11.33 ----- 980288.09 +75.73 2.4 0.00 +75.73
1242 41.227778 16.766667 -72.7 980377.13 -22.43 +10.44 ----- 980289.97 +75.17 2.4 0.00 +75.17
1243 41.246389 16.732222 -71.5 980376.06 -22.06 +10.27 ----- 980291.63 +72.64 2.4 0.00 +72.64
1244 41.262222 16.688889 -68.4 980373.30 -21.11 +9.82 ----- 980293.04 +68.97 2.4 0.00 +68.97
1245 41.245833 16.596944 -34.5 980368.56 -10.65 +4.95 ----- 980291.58 +71.28 2.4 0.00 +71.28
1246 41.261944 16.634167 -52.2 980370.70 -16.11 +7.49 ----- 980293.02 +69.06 2.4 0.00 +69.06
1247 41.295000 16.658333 -73.0 980373.93 -22.53 +10.48 ----- 980295.95 +65.93 2.4 0.00 +65.93
1248 41.347222 16.618889 -79.5 980377.56 -24.53 +11.41 ----- 980300.65 +63.79 2.4 0.00 +63.79
1249 41.303056 16.591111 -56.0 980371.21 -17.28 +8.04 ----- 980296.68 +65.29 2.4 0.00 +65.29
1250 41.262778 16.566389 -34.5 980367.54 -10.65 +4.95 ----- 980293.09 +68.75 2.4 0.00 +68.75
1251 41.300000 16.505833 -34.7 980370.41 -10.71 +4.98 ----- 980296.40 +68.28 2.2 -0.29 +67.99
1252 41.335833 16.487778 -40.6 980369.40 -12.53 +5.83 ----- 980299.63 +63.07 2.0 -0.68 +62.39
1253 41.372500 16.541111 -65.2 980373.93 -20.12 +9.36 ----- 980302.93 +60.24 2.0 -1.09 +59.15
1254 41.379722 16.430833 -40.0 980368.19 -12.34 +5.74 ----- 980303.58 +58.01 2.0 -0.67 +57.34
1255 41.330556 16.428611 -24.7 980368.16 -7.62 +3.55 ----- 980299.15 +64.94 2.0 -0.42 +64.52
1256 41.305000 16.413611 -12.4 980368.07 -3.83 +1.78 ----- 980296.85 +69.17 2.0 -0.21 +68.96
1257 41.287778 16.460833 -17.0 980367.71 -5.25 +2.44 ----- 980295.31 +69.59 2.2 -0.14 +69.45
1258 41.271111 16.489444 -16.0 980366.23 -4.94 +2.30 ----- 980293.83 +69.76 2.2 -0.14 +69.62
1259 41.262222 16.530833 -24.7 980367.15 -7.62 +3.55 ----- 980293.04 +70.04 2.4 0.00 +70.04
1260 41.238333 16.572500 -23.2 980363.76 -7.16 +3.33 ----- 980290.91 +69.02 2.4 0.00 +69.02
1261 41.225278 16.598611 -23.3 980363.38 -7.19 +3.35 ----- 980289.75 +69.79 2.4 0.00 +69.79
1262 41.272222 16.596389 -46.8 980369.41 -14.44 +6.72 ----- 980293.93 +67.76 2.4 0.00 +67.76
1263 41.287778 16.547222 -47.0 980369.21 -14.50 +6.75 ----- 980295.31 +66.15 2.4 0.00 +66.15
1264 41.321389 16.545278 -52.0 980370.88 -16.05 +7.47 ----- 980298.33 +63.97 2.2 -0.44 +63.53
1265 41.382778 16.487778 -56.0 980373.70 -17.28 +8.04 ----- 980303.85 +60.61 2.0 -0.94 +59.67
1266 41.311111 16.457500 -27.0 980368.94 -8.33 +3.88 ----- 980297.40 +67.09 2.0 -0.46 +66.63
1267 41.355833 16.421111 -30.2 980367.53 -9.32 +4.34 ----- 980301.43 +61.12 2.0 -0.51 +60.61
1268 41.358889 16.473056 -45.2 980369.96 -13.95 +6.49 ----- 980301.70 +60.80 2.0 -0.76 +60.04
1269 41.353889 16.527500 -56.1 980371.49 -17.31 +8.05 ----- 980301.25 +60.98 2.2 -0.47 +60.51
1270 41.417778 16.467778 -53.6 980371.66 -16.54 +7.70 ----- 980306.98 +55.84 2.0 -0.90 +54.94
1271 41.427778 16.407778 -43.6 980372.59 -13.45 +6.26 ----- 980307.87 +57.53 2.0 -0.73 +56.80
1272 41.445000 16.355556 -37.0 980373.99 -11.42 +5.31 ----- 980309.40 +58.48 2.0 -0.62 +57.86
1273 41.459167 16.306389 -30.4 980368.88 -9.38 +4.36 ----- 980310.67 +53.19 2.0 -0.50 +52.69
1274 41.420556 16.306389 -25.8 980373.66 -7.96 +3.70 ----- 980307.23 +62.17 2.0 -0.43 +61.74
1275 41.387778 16.304722 -22.8 980370.68 -7.04 +3.27 ----- 980304.30 +62.61 2.0 -0.38 +62.23
1276 41.350278 16.317778 -13.0 980369.21 -4.01 +1.87 ----- 980300.93 +66.14 2.0 -0.22 +65.92
1277 41.376111 16.344444 -23.2 980368.47 -7.16 +3.33 ----- 980303.25 +61.39 2.0 -0.39 +61.00
1278 41.335000 16.352222 -16.6 980369.42 -5.12 +2.38 ----- 980299.55 +67.13 2.0 -0.27 +66.86
1279 41.316111 16.397222 -15.0 980367.32 -4.63 +2.15 ----- 980297.85 +66.99 2.0 -0.25 +66.74
1280 41.365000 16.383333 -27.4 980369.08 -8.45 +3.93 ----- 980302.25 +62.31 2.0 -0.46 +61.85
1281 41.394722 16.388333 -33.6 980366.65 -10.37 +4.83 ----- 980304.93 +56.18 2.0 -0.57 +55.61
1282 41.412222 16.349444 -30.1 980368.72 -9.29 +4.32 ----- 980306.49 +57.26 2.0 -0.50 +56.76
1283 41.355833 16.272500 -10.4 980369.83 -3.21 +1.49 ----- 980301.43 +66.68 2.0 -0.17 +66.51
1284 41.411389 16.273333 -22.6 980372.31 -6.97 +3.24 ----- 980306.42 +62.16 2.0 -0.37 +61.79
1285 41.440833 16.257778 -23.8 980369.08 -7.34 +3.42 ----- 980309.04 +56.12 2.0 -0.40 +55.72
1286 41.379722 16.233056 -15.0 980368.79 -4.63 +2.15 ----- 980303.58 +62.73 2.0 -0.25 +62.48
1287 41.366944 16.210278 -3.5 980369.86 -1.08 +0.50 ----- 980302.43 +66.85 2.0 -0.06 +66.79
1288 41.401389 16.229444 -19.6 980370.08 -6.05 +2.81 ----- 980305.53 +61.31 2.0 -0.32 +60.99
1289 41.384722 16.263889 -18.9 980368.29 -5.83 +2.71 ----- 980304.03 +61.14 2.0 -0.31 +60.83
1290 41.437500 16.188333 -18.8 980373.20 -5.80 +2.70 ----- 980308.74 +61.36 2.0 -0.32 +61.04
1291 41.396944 16.185556 -15.7 980370.47 -4.84 +2.25 ----- 980305.13 +62.75 2.0 -0.26 +62.49
1292 41.469722 16.222778 -22.3 980371.09 -6.88 +3.20 ----- 980311.61 +55.80 2.0 -0.37 +55.43
1293 41.482778 16.279167 -27.8 980365.26 -8.58 +3.99 ----- 980312.77 +47.90 2.0 -0.46 +47.44
1294 41.471389 16.406111 -46.8 980370.54 -14.44 +6.72 ----- 980311.76 +51.06 2.0 -0.78 +50.28
1295 41.448611 16.460556 -52.5 980369.66 -16.20 +7.54 ----- 980309.73 +51.27 2.0 -0.88 +50.39
1296 41.378056 16.409444 -15.0 980368.23 -4.63 +2.15 ----- 980303.43 +62.32 2.0 -0.25 +62.07
1297 41.413056 16.143056 -13.2 980369.88 -4.07 +1.90 ----- 980306.57 +61.14 2.0 -0.23 +60.91
1298 41.431944 16.120833 -13.7 980370.42 -4.23 +1.97 ----- 980308.25 +59.91 2.0 -0.23 +59.68
1299 41.440000 16.078333 -12.0 980371.06 -3.70 +1.72 ----- 980308.96 +60.12 2.0 -0.20 +59.92
1300 41.459444 16.029167 -11.8 980372.81 -3.64 +1.69 ----- 980310.69 +60.17 2.0 -0.19 +59.98
1301 41.482778 15.980278 -11.2 980373.55 -3.46 +1.61 0.02 980312.37 +59.35 2.0 -0.19 +59.16
1302 41.498333 16.031111 -14.0 980375.02 -4.32 +2.01 0.03 980314.15 +58.59 2.0 -0.23 +58.36
1303 41.478333 16.082778 -16.2 980373.56 -5.00 +2.33 ----- 980312.37 +58.52 2.0 -0.28 +58.24
1304 41.463889 16.143056 -17.4 980371.91 -5.37 +2.50 ----- 980311.09 +57.95 2.0 -0.29 +57.66
1305 41.503611 16.181389 -19.2 980371.35 -5.92 +2.76 ----- 980314.63 +53.56 2.0 -0.33 +53.23
1306 41.440556 16.221389 -21.2 980374.39 -6.54 +3.04 ----- 980309.01 +61.88 2.0 -0.35 +61.53
1307 41.475000 16.188889 -20.0 980373.73 -6.17 +2.87 ----- 980312.07 +58.36 2.0 -0.33 +58.03
1308 41.620278 15.971944 -12.1 980394.65 -3.73 +1.74 0.47 980325.10 +67.99 2.2 -0.25 +67.74
1309 41.598333 16.039444 -13.4 980384.07 -4.13 +1.92 0.24 980322.15 +59.95 2.0 -0.26 +59.69
1310 41.603889 16.006667 -11.6 980390.94 -3.58 +1.67 0.33 980323.65 +65.71 2.0 -0.25 +65.46
1311 41.640556 16.139722 -13.5 980487.98 -4.17 +1.94 0.12 980326.91 +58.96 2.2 -0.12 +58.84
1312 41.681944 16.200833 -14.7 980408.04 -4.54 +2.11 0.12 980330.59 +75.14 2.4 0.00 +75.14
1313 41.720278 16.191389 -13.5 980430.98 -4.17 +1.94 0.27 980334.03 +94.99 2.4 0.00 +94.99
1314 41.707222 16.152222 -12.7 980424.85 -3.92 +1.82 0.53 980332.85 +90.43 2.4 0.00 +90.43
1315 41.687778 16.111389 -12.2 980411.28 -3.76 +1.75 0.62 980331.11 +78.78 2.4 0.00 +78.78
1316 41.662222 16.081667 -13.0 980399.31 -4.01 +1.87 0.55 980328.84 +68.88 2.2 -0.16 +68.72
1317 41.645833 16.046944 -13.0 980396.03 -4.01 +1.87 0.52 980327.38 +67.03 2.2 -0.15 +66.88
1318 41.633889 16.005556 -12.4 980395.64 -3.83 +1.78 0.57 980326.31 +67.85 2.2 -0.15 +67.70
1319 41.619167 16.093056 -14.2 980383.25 -4.38 +2.04 0.21 980325.01 +56.11 2.2 -0.14 +55.97
1320 41.589167 16.108889 -14.5 980378.81 -4.47 +2.08 0.08 980321.33 +55.17 2.0 -0.25 +54.92
1321 41.593056 16.195833 -16.0 980376.73 -4.94 +2.30 0.02 980321.68 +52.43 2.0 -0.27 +52.16
1322 41.551111 16.143889 -16.2 980373.45 -5.00 +2.33 0.06 980318.90 +51.94 2.0 -0.29 +51.65
1323 41.506944 16.125556 -17.3 980373.98 -5.34 +2.48 0.01 980314.93 +56.20 2.0 -0.29 +55.91
1324 41.528889 16.081111 -16.8 980375.91 -5.18 +2.41 0.04 980316.90 +56.28 2.0 -0.29 +55.99
1325 41.559722 16.047778 -15.0 980379.84 -4.63 +2.15 0.08 980319.43 +58.01 2.0 -0.27 +57.74
1326 41.527778 16.006944 -15.2 980377.53 -4.69 +2.18 0.07 980316.80 +58.29 2.0 -0.26 +58.03
1327 41.515278 15.955000 -8.8 980376.51 -2.72 +1.26 0.06 980315.68 +59.43 2.0 -0.15 +59.28
1328 41.538611 15.943611 -9.7 980380.18 -2.99 +1.39 0.09 980317.78 +60.89 2.0 -0.18 +60.71
1329 41.560000 15.987222 -14.2 980383.95 -4.38 +2.04 0.11 980319.70 +62.02 2.0 -0.26 +61.76
1330 41.575000 15.935556 -10.0 980389.71 -3.08 +1.44 0.25 980320.05 +68.27 2.0 -0.21 +68.06
1331 41.601111 15.938333 -10.8 980398.68 -3.33 +1.55 0.39 980323.40 +73.89 2.0 -0.25 +73.64
2111 41.700278 16.243333 -16.7 980414.51 -5.15 +2.40 0.07 980332.22 +79.61 2.3 -0.07 +79.54
2112 41.751944 16.192222 -13.1 980445.36 -4.04 +1.88 0.35 980336.87 +106.68 2.4 0.00 +106.68
2113 41.791389 16.224167 -14.4 980449.86 -4.44 +2.07 0.25 980340.42 +107.32 2.4 0.00 +107.32
2196 41.608889 16.285278 -22.9 980386.30 -7.07 +3.29 ----- 980324.09 +58.43 2.2 -0.19 +58.24
2197 41.669444 16.329167 -26.9 980408.39 -8.30 +3.86 ----- 980329.48 +74.47 2.2 -0.22 +74.25
2198 41.725556 16.389167 -43.3 980419.99 -13.36 +6.22 ----- 980334.50 +78.35 2.4 0.00 +78.35
2199 41.800278 16.409722 -55.2 980430.30 -17.03 +7.93 ----- 980341.23 +79.97 2.4 0.00 +79.97
2206 41.774444 16.517222 -84.7 980430.68 -26.14 +12.16 ----- 980338.90 +77.80 2.4 0.00 +77.80
2280 41.419444 16.543889 -70.2 980377.26 -21.66 +10.08 ----- 980207.13 +58.55 2.0 -1.18 +57.37
2281 41.463889 16.528611 -72.0 980376.61 -22.22 +10.34 ----- 980311.09 +53.64 2.0 -1.21 +52.43
2282 41.495833 16.472222 -62.2 980374.80 -19.19 +8.93 ----- 980313.93 +50.61 2.0 -1.04 +49.57
2283 41.530556 16.417778 -52.0 980377.19 -16.05 +7.47 ----- 980317.05 +51.56 2.0 -0.88 +50.68
2284 41.504722 16.357500 -39.0 980367.35 -12.03 +5.60 ----- 980314.73 +46.19 2.0 -0.65 +45.54
2285 41.546667 16.336111 -36.1 980373.73 -11.14 +5.18 ----- 980318.50 +49.27 2.0 -0.60 +48.67
2286 41.526944 16.266944 -26.0 980368.28 -8.02 +3.73 ----- 980316.73 +47.26 2.0 -0.43 +46.83
2287 41.550000 16.212500 -20.0 980371.29 -6.17 +2.87 ----- 980318.80 +49.19 2.0 -0.33 +48.86
2288 41.568889 16.268611 -24.6 980374.98 -7.59 +3.53 ----- 980320.50 +50.42 2.0 -0.41 +50.01
2289 41.600556 16.368333 -42.0 980394.43 -12.96 +6.03 ----- 980323.35 +64.15 2.0 -0.70 +63.45
2373 41.577778 16.440278 -60.5 980396.12 -18.67 +8.69 ----- 980321.27 +64.87 2.0 -1.02 -63.85
2374 41.536667 16.546389 -81.2 980394.35 -25.06 +11.66 ----- 980317.59 +63.36 2.0 -1.36 -62.00
2375 41.495000 16.644444 -93.8 980391.19 -28.94 +13.47 ----- 980313.86 +61.86 2.0 -1.57 -60.11
2376 41.456111 16.741111 -103.0 980387.74 -31.78 +14.79 ----- 980310.38 +60.37 2.2 -0.86 -59.51
2377 41.244722 16.780556 -85.4 980381.10 -26.35 +12.26 ----- 980291.47 +75.54 2.4 0.00 -75.54
2378 41.305833 16.783056 -97.8 980380.44 -30.18 +14.04 ----- 980296.94 +67.36 2.4 0.00 -67.36
2379 41.331667 16.709444 -89.4 980377.28 -27.59 +12.84 ----- 980299.24 +63.29 2.4 0.00 -63.29
2380 41.370000 16.775000 -101.0 980388.76 -31.17 +14.50 ----- 980302.67 +69.42 2.4 0.00 -69.42
2393 41.705556 16.823611 -138.2 980438.15 -42.65 +19.84 ----- 980332.73 +82.61 2.0 -2.31 +80.30
2394 41.600000 16.763889 -108.7 980421.10 -33.54 +15.61 ----- 980323.27 +79.90 2.0 -1.82 +78.08
2395 41.429167 16.686111 -94.0 980384.21 -29.01 +13.50 ----- 980307.97 +60.73 2.2 -0.79 +59.94
2396 41.430556 16.611111 -84.0 980379.44 -25.92 +12.06 ----- 980308.09 +57.49 2.0 -1.41 +56.08
2397 41.595833 16.515278 -98.8 980414.59 -30.49 +14.19 ----- 980322.90 +75.39 2.0 -1.66 +73.73
2398 41.687500 16.702778 -107.0 980428.03 -33.02 +15.36 ----- 980331.11 +79.26 2.2 -0.89 +78.37
2399 41.788889 16.770833 -136.8 980441.55 -42.21 +19.64 ----- 980340.20 +78.78 2.2 -1.14 +77.64
2402 41.777778 16.648611 -100.4 980432.06 -30.98 +14.42 ----- 980339.20 +76.30 2.2 -0.85 +75.45
2403 41.654167 16.556944 -88.3 980419.47 -27.25 +12.68 ----- 980328.13 +76.77 2.2 -0.74 +76.03
2404 41.638889 16.441667 -63.8 980420.98 -19.69 +9.16 ----- 980326.75 +83.70 2.2 -0.53 +83.17
